"size_class","count","min_size_class","max_size_class","mp_size_class","size_width","n_s","db","min_d","max_d","mp"
"(0.654,0.704]",6,0.654,0.704,0.679,0.0499999999999999,0.0679694137638064,"(150,200]",150,200,175
"(0.704,0.754]",7,0.704,0.754,0.729,0.05,0.0792976493911073,"(150,200]",150,200,175
"(0.754,0.804]",8,0.754,0.804,0.779,0.05,0.0906258850184083,"(150,200]",150,200,175
"(0.804,0.854]",5,0.804,0.854,0.829,0.0499999999999999,0.0566411781365053,"(150,200]",150,200,175
"(0.854,0.904]",4,0.854,0.904,0.879,0.05,0.0453129425092041,"(150,200]",150,200,175
"(0.904,0.954]",2,0.904,0.954,0.929,0.0499999999999999,0.0226564712546021,"(150,200]",150,200,175
"(0.954,1]",4,0.954,1,0.977,0.046,0.0492531983795697,"(150,200]",150,200,175
"(1,1.05]",1,1,1.05,1.025,0.05,0.011328235627301,"(150,200]",150,200,175
"(1.05,1.1]",1,1.05,1.1,1.075,0.05,0.011328235627301,"(150,200]",150,200,175
"(1.1,1.15]",2,1.1,1.15,1.125,0.0499999999999998,0.0226564712546022,"(150,200]",150,200,175
"(1.65,1.7]",1,1.65,1.7,1.675,0.05,0.011328235627301,"(150,200]",150,200,175
"(0.104,0.154]",100,0.104,0.154,0.129,0.05,1.11135807957324,"(200,250]",200,250,225
"(0.154,0.204]",50,0.154,0.204,0.179,0.05,0.555679039786619,"(200,250]",200,250,225
"(0.204,0.254]",100,0.204,0.254,0.229,0.05,1.11135807957324,"(200,250]",200,250,225
"(0.254,0.304]",150,0.254,0.304,0.279,0.05,1.66703711935986,"(200,250]",200,250,225
"(0.304,0.354]",124,0.304,0.354,0.329,0.05,1.37808401867082,"(200,250]",200,250,225
"(0.354,0.404]",113,0.354,0.404,0.379,0.05,1.25583462991776,"(200,250]",200,250,225
"(0.404,0.454]",47,0.404,0.454,0.429,0.05,0.522338297399422,"(200,250]",200,250,225
"(0.454,0.504]",33,0.454,0.504,0.479,0.05,0.366748166259169,"(200,250]",200,250,225
"(0.504,0.554]",24,0.504,0.554,0.529,0.05,0.266725939097577,"(200,250]",200,250,225
"(0.554,0.604]",19,0.554,0.604,0.579,0.0499999999999999,0.211158035118916,"(200,250]",200,250,225
"(0.604,0.654]",22,0.604,0.654,0.629,0.05,0.244498777506112,"(200,250]",200,250,225
"(0.654,0.704]",12,0.654,0.704,0.679,0.0499999999999999,0.133362969548789,"(200,250]",200,250,225
"(0.704,0.754]",5,0.704,0.754,0.729,0.05,0.0555679039786619,"(200,250]",200,250,225
"(0.754,0.804]",5,0.754,0.804,0.779,0.05,0.0555679039786619,"(200,250]",200,250,225
"(0.804,0.854]",4,0.804,0.854,0.829,0.0499999999999999,0.0444543231829296,"(200,250]",200,250,225
"(0.854,0.904]",2,0.854,0.904,0.879,0.05,0.0222271615914647,"(200,250]",200,250,225
